distinct_id,"Document le plus recommandé","Document 2","Document 3","Document 4","Document 5","Score de la meilleur reco","Score 2","Score 3","Score 4","Score 5"
3e0627fe-306d-44f9-98b2-caa6f9b16784,74c55886-abd3-4871-a9ed-fd739c0885d5,31817c5a-d893-4fe5-8527-6d9f05d50536,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,100,41.4,41.2,34.1,26.4
3e3b5729-e284-46f5-a64b-9310db4b065b,2d67c10f-956e-4453-bea5-d58c8b2aed15,74c55886-abd3-4871-a9ed-fd739c0885d5,31817c5a-d893-4fe5-8527-6d9f05d50536,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,100,47.3,26.5,25.6,22.1
40b33abb-808b-4685-9885-43a91aba0ba4,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,7bac4ec5-4f95-4723-9cde-1ab35083b536,5011267c-10fd-4e62-a83d-3f53653527a5,100,88,75.2,73.9,67
4169c184-d8e5-41f4-a992-de511c8e1f70,2d67c10f-956e-4453-bea5-d58c8b2aed15,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,7bac4ec5-4f95-4723-9cde-1ab35083b536,100,19.8,16.9,13.8,13.4
41afc8e4-ebca-471c-b56e-80b2f7514d44,2d67c10f-956e-4453-bea5-d58c8b2aed15,74c55886-abd3-4871-a9ed-fd739c0885d5,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,7bac4ec5-4f95-4723-9cde-1ab35083b536,5011267c-10fd-4e62-a83d-3f53653527a5,100,59.8,34,27.6,26.7
440765f7-4a3a-4667-b6fd-2c1ec2a478f9,2d67c10f-956e-4453-bea5-d58c8b2aed15,74c55886-abd3-4871-a9ed-fd739c0885d5,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,100,32.9,12.9,10.4,7.9
48d12109-e01f-4a69-a261-6bfbc19c6098,31817c5a-d893-4fe5-8527-6d9f05d50536,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,7bac4ec5-4f95-4723-9cde-1ab35083b536,100,99.7,88.6,77.5,74.5
4aa5fe82-c9a6-4550-869f-6c00f314846c,74c55886-abd3-4871-a9ed-fd739c0885d5,31817c5a-d893-4fe5-8527-6d9f05d50536,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,100,43.4,42.6,35.3,27.7
4ac5404c-64ec-4b2a-8215-5e39c5996bdb,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,31817c5a-d893-4fe5-8527-6d9f05d50536,d7528f22-ec63-4981-a09c-20475887e2c4,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,7bac4ec5-4f95-4723-9cde-1ab35083b536,100,97.8,90.1,80.9,75.7
504d58d6-3443-45d8-a8bf-0c8d0b1baeff,50a61dc8-9bdb-4f0a-a45f-5c2c7ca1d7bf,d7528f22-ec63-4981-a09c-20475887e2c4,65a138a9-ec54-4e4b-aaac-9286b01a7ec6,cc351040-a05d-490f-bb42-d5bb15b42a59,31817c5a-d893-4fe5-8527-6d9f05d50536,100,99.9,96.8,76.2,75.6
